Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Workday Analyst,Software & IT,Allina Health,Healthcare & Medical,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Clinical Services Manager,Healthcare & Clinical,Allina Health,Healthcare & Medical,Minnesota
MS Business Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Graduate level degree,2024,Quality and Safety Manager,Operations & Supply Chain,Allina Health,Healthcare & Medical,Minnesota
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,Guest Lead,Management & Leadership,Altar'd State,Retail & Consumer Products,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Area Manager,Management & Leadership,Amazon,Technology & Software,Minnesota
MS Business Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Graduate level degree,2024,Program Manager,Management & Leadership,Amazon,Technology & Software,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Software Engineer,Software & IT,Amazon,Technology & Software,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Field Engineer,Engineering,"American Engineering Testing, Inc.","Construction, Engineering & Real Estate",Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Investment Analyst,Finance & Accounting,American Equity Investment Life Insurance,Financial Services & Insurance,Minnesota
Organization Develop & Change,EDUCATION & SOCIAL SERVICES,Social Work,Opus College of Business,Graduate level degree,2024,Executive Director,Management & Leadership,American Relief Agency For The Horn of Africa,Government & Public Service,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Chapter Treasurer,Finance & Accounting,American Society of Civil Engineers,Government & Public Service,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Leadership Development Program Associate,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,Leadership Development Program Associate,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
Data Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's degree,2024,Leadership Development Program Associate,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Client Support Associate,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Leadership Development Program Associate,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
International Business,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Leadership Development Program Associate,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Financial Advisor,Finance & Accounting,Ameriprise Financial,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Business Systems Analyst,Software & IT,Ameriprise Financial,Financial Services & Insurance,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Customer Service Associate,Sales & Business Development,Ameriprise Financial,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Compensation Analyst,Human Resources,Ameriprise Financial,Financial Services & Insurance,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Project Manager,Management & Leadership,Ameriprise Financial,Financial Services & Insurance,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Outpatient Mental Health Therapist,Healthcare & Clinical,Amery Regional Medical Center,Healthcare & Medical,Wisconsin
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Civil Engineer,Engineering,Ami Consulting Engineers,"Construction, Engineering & Real Estate",Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Partner Specialist,Software & IT,CDW,Technology & Software,Illinois
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Digital Marketing Coordinator,Marketing & Communications,Andersen Global,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Operational Financial Analyst,Finance & Accounting,Andersen Global,Professional Services & Consulting,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Manufacturing Engineer,Engineering,Andersen Global,Professional Services & Consulting,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Engineering Manager,Engineering,Andersen Global,Professional Services & Consulting,Wisconsin
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Business Owner,Engineering,Andersen Tile and Stone,"Construction, Engineering & Real Estate",Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Manufacturing Engineer,Engineering,Andersen Windows,Manufacturing & Industrial,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Associate Attorney,Legal,"Anderson & Anderson Law Firm, P.C.",Professional Services & Consulting,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,ERP Coordinator,Operations & Supply Chain,Andpak Midwest,Manufacturing & Industrial,Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Mental Health Worker,Healthcare & Clinical,Andrew Residence,Government & Public Service,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Education,Bachelor's degree,2024,Teacher,Education & Teaching,Anoka-Hennepin School District,Education & Academia,Minnesota
Early Childhood Special Educ,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Teacher,Education & Teaching,Anoka-Hennepin School District,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Anoka-Hennepin School District,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Electrical Engineer,Engineering,Anoka-Hennepin School District,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Anoka-Hennepin School District,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Anoka-Hennepin School District,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Anoka-Hennepin School District,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Paraeducator,Education & Teaching,Anoka-Hennepin School District,Education & Academia,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Accounting Team Lead,Finance & Accounting,Api National Service Group,"Construction, Engineering & Real Estate",Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Server,Sales & Business Development,Applebee's,Retail & Consumer Products,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Operations Assistant,Operations & Supply Chain,Arch Capital Group Ltd.,Financial Services & Insurance,Minnesota
Pastoral Ministry,"ARTS, LANGUAGES & THEOLOGY",Theology,School of Divinity,Graduate level degree,2024,Administrator,Administrative & Support,Archdiocese of Saint Paul and Minneapolis,Government & Public Service,Minnesota
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Graduate level degree,2024,Operations Coordinator,Operations & Supply Chain,Archdiocese of Saint Paul and Minneapolis,Government & Public Service,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,Security Analyst,Software & IT,Arctic Wolf,Technology & Software,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,Director of Athletic Performance,Design & Creative,Arkansas State University,Education & Academia,Arkansas
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's degree,2024,Model,Consulting & Advisory,Arquette Agency,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Account Coordinator,Sales & Business Development,Arrowhead Promotion & Fulfillment,Professional Services & Consulting,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Major Gifts Officer,Education & Teaching,Ascension Academy,Education & Academia,Minnesota
Educ Leadership & Learning,EDUCATION & SOCIAL SERVICES,Education,School of Education,Graduate level degree,2024,ERISA Consultant,Consulting & Advisory,Ascensus,Financial Services & Insurance,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,Technical Recruiter,Human Resources,ASGN,Professional Services & Consulting,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Aspen Academy,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Aspen Academy,Education & Academia,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Investment Banking Analyst,Finance & Accounting,Chartwell Financial Advisory,Financial Services & Insurance,Illinois
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Emergency Medical Technician,Healthcare & Clinical,Aspirus,Healthcare & Medical,Wisconsin
Leadership In Student Affairs,EDUCATION & SOCIAL SERVICES,Education,School of Education,Graduate level degree,2024,Assistant Director,Management & Leadership,Augsburg College,Education & Academia,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Avalon School,Education & Academia,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Audit and Assurance Assistant,Finance & Accounting,Deloitte,Professional Services & Consulting,Illinois
Communication Studies,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's degree,2024,Sales Coordinator,Sales & Business Development,Bally Sports,Retail & Consumer Products,Minnesota
Bus Admin - Communication,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Recruitment Specialist,Human Resources,BAMCIS Talent,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Inside Sales Specialist,Sales & Business Development,Banner Engineering,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Mechanical Design Engineer,Engineering,Banner Engineering,Manufacturing & Industrial,Minnesota
Manufacturing Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Industrial Engineer,Engineering,Banner Engineering,Manufacturing & Industrial,South Dakota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Marketing Coordinator,Marketing & Communications,Baseline Fitness,Healthcare & Medical,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Quality Engineer,Engineering,Baxter International,Manufacturing & Industrial,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Environmental Field Technician,Engineering,Bay West,Professional Services & Consulting,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Human Resources Manager,Human Resources,Baycare Clinic,Healthcare & Medical,Wisconsin
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Audit Associate,Finance & Accounting,BDO,Financial Services & Insurance,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Audit Associate,Finance & Accounting,BDO,Financial Services & Insurance,Minnesota
Manufacturing Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Founder,Operations & Supply Chain,Bear Putter,Manufacturing & Industrial,Minnesota
Pastoral Leadership,"ARTS, LANGUAGES & THEOLOGY",Theology,School of Divinity,Graduate level degree,2024,Teacher,Education & Teaching,Benilde-St. Margaret's School,Education & Academia,Minnesota
Counseling Psychology,EDUCATION & SOCIAL SERVICES,Social Work,School of Prof Psychology,Graduate level degree,2024,Mental Health Practitioner,Healthcare & Clinical,Berkshire Hathaway Specialty Insurance,Financial Services & Insurance,Minnesota
