Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Financial Management,Advisor In training ,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Finance Rotational Analyst,Andersen Corp.,Opus College of Business,Bachelor's degree,Minnesota,2024
Environmental Studies,Energy Program Specialist,Avant Energy,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Human Resources Management,HR Generalist,Avtec,Opus College of Business,Bachelor's degree,Minnesota,2024
Accounting,Tax associate ,Baker Tilly,Opus College of Business,Bachelor's degree,Minnesota,2024
Computer Engineering,Production Control Analyst,Banner Engineering,School of Engineering,Bachelor's degree,Minnesota,2024
Entrepreneurship,Chief Enabler,BarnCo,Opus College of Business,Bachelor's degree,Minnesota,2024
Accounting,Audit Associate,BDO,Opus College of Business,Bachelor's degree,Minnesota,2024
Marketing Management,Web Manager,Beecroft Marketing and Event ms,Opus College of Business,Bachelor's degree,Minnesota,2024
Strategic Comm: Ad and PR,Account Coordinator,Bellmont Partners,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Financial Management,Accounting and Claims Analyst,BMS Group,Opus College of Business,Bachelor's degree,Minnesota,2024
Civil Engineering,Civil Engineer,Bolton and Menk,School of Engineering,Bachelor's degree,Minnesota,2024
Civil Engineering,Transportation Graduate Engineer,Bolton-Menk,School of Engineering,Bachelor's degree,Minnesota,2024
Civil Engineering,Staff Engineer,Braun Intertec,School of Engineering,Bachelor's degree,Wisconsin,2024
Environmental Science,Staff Scientist ,Braun Intertec,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Illinois ,2024
Biochemistry,Medical Assistant,Central Internal Medicine Associates,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Financial Management,Analyst,Chartwell Financial Advisory,Opus College of Business,Bachelor's degree,Minnesota,2024
Psychology,Mental Health Specialist,Children's Minnesota,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Economics - Business,Finance associate ,CHS,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
MS Operations & Supply Chain Mgmt,Supply Planning Analyst,CHS Inc.,Opus College of Business,Bachelor's degree,Minnesota,2024
Civil Engineering,Graduate Engineer,City of Cottage Grove,School of Engineering,Bachelor's degree,Minnesota,2024
Accounting,Tax Associate,CLA,Opus College of Business,Bachelor's degree,Wisconsin,2024
Journalism,Video and Content Creation Intern,Cleveland Browns,College of Arts & Sciences,Bachelor's degree,Ohio,2024
Computer Engineering,Software Engineer,Collins Aerospace,School of Engineering,Bachelor's degree,Minnesota,2024
Mathematics (Applied Track),Data Analysis,Currie and Brown,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Human Resources Management,,Daikin Applied,Opus College of Business,Bachelor's degree,Wisconsin,2024
MS Operations & Supply Chain Mgmt,Supply Chain Analyst,Daikin Applied,Opus College of Business,Bachelor's degree,Minnesota,2024
Actuarial Science,Actuarial Analyst,Deloitte,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Accounting,Audit Assistance,Deloitte,Opus College of Business,Bachelor's degree,Minnesota,2024
Accounting,Tax Consultant ,Deloitte,Opus College of Business,Bachelor's degree,Minnesota,2024
Political Science,,Democratic Farmer Labor Party,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Marketing Management,Social Media Marketing Specalist,Direct Clicks Inc.,Opus College of Business,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Operations Development Associate,Donaldson Company,School of Engineering,Bachelor's degree,Minnesota,2024
Financial Management,Associate Financial Analyst II,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Financial Analyst,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Financial Analyst II,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Associate Financial Analyst,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2024
Gen Business Mgmt,Sales Manager,EcoShield,Opus College of Business,Bachelor's degree,Minnesota,2024
Biology,Scribe,Emergency Care Consultants,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Product Management Engineer,Emerson,School of Engineering,Bachelor's degree,Minnesota,2024
Computer Engineering,Technical Solutions Engineer,Epic,School of Engineering,Bachelor's degree,Wisconsin,2024
Catholic Studies,Staff Accountant (Central Tax),EY,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Accounting,Audit/Assurance Associate,EY,Opus College of Business,Bachelor's degree,Minnesota,2024
Civil Engineering,Civil Staff Engineer,"EVS, Inc.",School of Engineering,Bachelor's degree,Minnesota,2024
Accounting,Tax Accountant,EY,Opus College of Business,Bachelor's degree,Minnesota,2024
Marketing Management,Marketing Associate,Flare Advertising,Opus College of Business,Bachelor's degree,Minnesota,2024
Computer Science,Junior Software Developer,ForeTees LLC,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Psychology,Behavioral Technician,Fraser,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Real Estate Studies,Intern,Gateway Bank,Opus College of Business,Bachelor's degree,Minnesota,2024
Accounting,Tax Associate,Grant Thornton,Opus College of Business,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Field Engineer,Great River Automation,School of Engineering,Bachelor's degree,Minnesota,2024
Electrical Engineering,Substation Engineer,Great River Energy,School of Engineering,Bachelor's degree,Minnesota,2024
Marketing Management,Marketing Coordinator,GTN,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Aftermarket Sales Representative,Haf Equipment,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Research Analyst,Heartland Advisors Inc.,Opus College of Business,Bachelor's degree,Minnesota,2024
Neuroscience,Pathology Aide,Hospital Pathology Associates,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Financial Management,Financial Analyst,Houlihan Lokey,Opus College of Business,Bachelor's degree,Minnesota,2024
Entrepreneurship,,IBM,Opus College of Business,Bachelor's degree,,2024
Computer Science,Technical Services Developer,Infinite Campus,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Automation Engineer,Innovize,School of Engineering,Bachelor's degree,Minnesota,2024
Civil Engineering,Design engineer,Isthmus Engineering,School of Engineering,Bachelor's degree,Minnesota,2024
Leadership & Management,Operations Manager ,Jenny Gezella,Opus College of Business,Bachelor's degree,Minnesota,2024
Marketing Management,Sales Consultant ,Johnson Brothers,Opus College of Business,Bachelor's degree,Minnesota,2024
Leadership & Management,Relationship Banker,Bank of America,Opus College of Business,Bachelor's Degree,North Carolina,2021
Accounting,Staff Accountant,LB Carlson,Opus College of Business,Bachelor's degree,Wisconsin,2024
Exercise Science,Personal Trainer,Life Time,College of Health,Bachelor's degree,Minnesota,2024
Music - Business,Regional Marketing Coordinator - Southeast,Live Nation Entertainment - Concerts Division,College of Arts & Sciences,Bachelor's degree,Tennessee ,2024
Leadership & Management,Associate Account Manager,Lockton,Opus College of Business,Bachelor's degree,Minnesota,2024
Law & Compliance,Associate Account Manager,Lockton,Opus College of Business,Bachelor's degree,Minnesota,2024
Gen Business Mgmt,Associate account manager,Lockton,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Associate Account Manager ,Lockton ,Opus College of Business,Bachelor's degree,,2024
Biology,Legal Assistant,Matt Guttman,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Elementary Education (K-6),Teacher ,Maxfield Elementary ,School of Education,Bachelor's degree,Minnesota,2024
Civil Engineering,Highway Designer,Michael Baker International,School of Engineering,Bachelor's degree,Wisconsin,2024
Electrical Engineering,Electrical Designer,Michaud Cooley Erickson,School of Engineering,Bachelor's degree,Minnesota,2024
Electrical Engineering,Electrical Designer/EIT ,Michaud Cooley Erickson,School of Engineering,Bachelor's degree,Minnesota,2024
Computer Science,Full Stack Developer,Midwest Veterinary Supply,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Financial Management,,Millboard ,Opus College of Business,Bachelor's degree,,2024
Elementary Education (K-6),5th Grade Teacher,Minneapolis Public Schools,School of Education,Bachelor's degree,Minnesota,2024
Marketing Management,Sales and Service Associate ,Minnesota Lynx,Opus College of Business,Bachelor's degree,Minnesota,2024
Strategic Comm: Ad and PR,Business Development Account Executive ,Minnesota Timberwolves ,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Human Resources Management,HR Intern,Minnesota Twins,Opus College of Business,Bachelor's degree,Minnesota,2024
Leadership & Management,Ticket Sales & Services Associate,Minnesota Vikings,Opus College of Business,Bachelor's degree,Wisconsin,2024
Marketing Management,US Commercial Partnerships Representative,MM PRTNRS.,Opus College of Business,Bachelor's degree,Minnesota,2024
Marketing Management,Special Events and Events Intern ,MN Twins,Opus College of Business,Bachelor's degree,Minnesota,2024
Gen Business Mgmt,Service Associate,Morgan Stanley,Opus College of Business,Bachelor's degree,Minnesota,2024
Computer Science,Information Technology Intern,National Grid,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Environmental Science,Lead Field Technician,NEON by Battelle,College of Arts & Sciences,Bachelor's degree,california,2024
Financial Management,"Associate, Operations",NorthRock Partners,Opus College of Business,Bachelor's degree,Minnesota,2024
Actuarial Science,Actuarial Specialist,Northwestern Mutual,College of Arts & Sciences,Bachelor's degree,Wisconsin,2024
Financial Management,Associate Financial Representative ,Northwestern Mutual ,Opus College of Business,Bachelor's degree,Minnesota,2024
Biology,Medical Scribe,Nura PA Pain Clinic,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Computer Science,Associate Software Engineer,Optum,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Data Analytics,Data Analyst,Optum,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Marketing Management,Analyst ,Ovative Group,Opus College of Business,Bachelor's degree,Minnesota,2024
MS Operations & Supply Chain Mgmt,Supply Chain Leadership Development Associate ,Parker Hannifin,Opus College of Business,Bachelor's degree,Wisconsin,2024
Leadership & Management,Customer Care Manager,Paul Jonley,Opus College of Business,Bachelor's degree,Wisconsin,2024
Computer Science,Software Development Intern,Pearson VUE,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Manufacturing Engineer,Peli Biothermal,School of Engineering,Bachelor's degree,Minnesota,2024
International Business,Sales Management Associate,PepsiCo,Opus College of Business,Bachelor's degree,Minnesota,2024
Exercise Science,Client Delivery Specialist,Personify Health,College of Health,Bachelor's degree,Minnesota,2024
MS Operations & Supply Chain Mgmt,Associate Consultant,Pioneer Management Consulting,Opus College of Business,Bachelor's degree,Minnesota,2024
Financial Management,Institutional Investment Specialist,PMA ,Opus College of Business,Bachelor's degree,Minnesota,2024
Gen Business Mgmt,Owner Connection Representative,Polaris,Opus College of Business,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Powertrain Engineer,Polaris,School of Engineering,Bachelor's degree,Minnesota,2024
Marketing Management,Sales DP,Polaris,Opus College of Business,Bachelor's degree,Wisconsin,2024
Accounting,Associate business controls consultant ,PwC,Opus College of Business,Bachelor's degree,Minnesota,2024
Psychology,au' pair,,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Mechanical Engineering,Plant Process Engineer ,Proctor & Gamble,School of Engineering,Bachelor's degree,Iowa,2024
Accounting,Audit Associate,PwC,Opus College of Business,Bachelor's degree,Minnesota,2024
Gen Business Mgmt,Employee benefits advisor ,RAM benefits ,Opus College of Business,Bachelor's degree,Minnesota,2024
Social Work,Environmental Health Outreach and Coordinator Intership,Ramsey County,College of Health,Bachelor's degree,Minnesota,2024
Human Resources Management,Shipping and receiving manager,Revolution Screen Works ,Opus College of Business,Bachelor's degree,Minnesota,2024
Marketing Management,Account Manager,Reyes Coca Cola,Opus College of Business,Bachelor's degree,Minnesota,2024
Biology,Clinical assistant ,River Valley Health Services ,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Financial Management,Financial Analysis,Roers Companies,Opus College of Business,Bachelor's degree,Minnesota,2024
Real Estate Studies,Development Associate,Ron Clark Construction,Opus College of Business,Bachelor's degree,Minnesota,2024
Economics - Business,Data & Digital Services Associate,RSM US LLP,College of Arts & Sciences,Bachelor's degree,Florida,2024
Elementary Education (K-6),,,,Bachelor's Degree,North Carolina,2021
Philosophy,Educational Support in a publich charter school,Seton Education Partners,College of Arts & Sciences,Bachelor's degree,,2024
Philosophy,Seton Teaching Fellow,Seton Teaching Foundation ,College of Arts & Sciences,Bachelor's degree,Wisconsin,2024
Actuarial Science,Actuarial Analyst,Seurian Financial,College of Arts & Sciences,Bachelor's degree,Wisconsin,2024
Marketing Management,Associate Community Account Executive,SPS Commerce,Opus College of Business,Bachelor's degree,Minnesota,2024
Statistics,Associate customer support analyst,SPS Commerce,College of Arts & Sciences,Bachelor's degree,Minnesota,2024
Leadership & Management,Associate Consultant,SPS Commerce,Opus College of Business,Bachelor's degree,Minnesota,2024
Civil Engineering,Design Engineer I,SRF Consulting,School of Engineering,Bachelor's degree,Minnesota,2024
