Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Computer Science,,,,Bachelor's Degree,,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Gen Business Mgmt,Trust and Investments at City State Bank,,,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Gen Business Mgmt,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,General Business,Other,Other
Public Health,,,,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Health & Wellness,Other,Other
Biology,,,,Bachelor's Degree,,2021,NATURAL & HEALTH SCIENCES,Biological Sciences,Other,Other
Operations Management,,,,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Other,Other
Philosophy,,,,Bachelor's Degree,,2021,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Law & Compliance,,,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Specialized Business,Other,Other
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
Financial Management,Sales representative,Geneva Capital,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Sales & Business Development
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Other,Other
Mechanical Engineering,Design Engineer,3M,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Engineering
Civil Engineering,Project Wngineer,3M,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Engineering
Leadership & Management,Medical device recruiter,Actalent Services,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Healthcare & Clinical
Geology,Night Shift Shipping Manager,ADA Enterprises,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Physical Sciences,Government & Public Service,Operations & Supply Chain
Neuroscience,Nursing assistant,Advocate Lutheran,College of Arts & Sciences,Bachelor's degree,Illinois,2022,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Human Resources Management,Recruiting Coordinator,Aldridge Electric,Opus College of Business,Bachelor's degree,Illinois,2022,BUSINESS & MANAGEMENT,Specialized Business,"Construction, Engineering & Real Estate",Human Resources
Marketing Management,Marketing Campaign Coordinator,All Energy Solar,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Marketing & Communication,Energy & Utilities,Marketing & Communications
Economics - Business,Inside Sales,All Energy Solar,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Economics,Energy & Utilities,Sales & Business Development
Civil Engineering,Graduate Transportation Engineer,Alliant Engineering,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Bus Admin - Communication,Area Manager,Amazon,Opus College of Business,Bachelor's degree,Illinois,2022,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Management & Leadership
Actuarial Science,Business Analytics Analyst,American Family Insurance,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Data & Analytics
Economics,Business Analyst Associate,Ameriprise Financial,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Economics,Financial Services & Insurance,Finance & Accounting
Law & Compliance,Compliance Analytics Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Specialized Business,Financial Services & Insurance,Finance & Accounting
MS Operations & Supply Chain Mgmt,Operations Leadership Development Program,Andersen Windows,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
COJO Strategic Communications,Digital Marketing Coordinator,Andersen Windows + Doors,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,COMMUNICATION & MEDIA,Communication Studies,Manufacturing & Industrial,Marketing & Communications
Leadership & Management,Associate Compensation Consultant,Aon,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Human Resources
Actuarial Science,Reinsurance Cat Analyst,Aon,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Art History,Assistant Coordinator of Marriage Prep and Youth Ministry,Archdiocese of St Paul and Minneapolis,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Government & Public Service,Government & Public Service
Gen Business Mgmt,Sales Development Representative,Arctic Wolf,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Technology & Software,Sales & Business Development
Statistics,Data engineer/analyst,Avanade,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Physical Sciences,Technology & Software,Data & Analytics
Financial Management,Associate,Lee & Associates,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Engineering
Accounting,Audit,Baker Tilly,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Marketing Management,Industry Analyst,Banner Engineering,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Operations & Supply Chain
Entrepreneurship,Agent,Baxter Insurance Group,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Sales & Business Development
Financial Management,Financial Analyst,Best Buy,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Finance & Accounting
Financial Management,Business development Specialist,"Naviant, Inc",Opus College of Business,Bachelor's degree,Wisconsin,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Sales & Business Development
MS Operations & Supply Chain Mgmt,Category Management Analyst,Best Buy,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Operations & Analytics,Retail & Consumer Products,Sales & Business Development
Financial Management,Leadership Development Program- Finance Representative,Heritage Environmental Services,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Gen Business Mgmt,Individual Incentive Travel Consultant,BI WORLDWIDE,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Consulting & Advisory
Biochemistry,Research Associate,Bio-Techne,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Biological Sciences,Technology & Software,Research & Science
Data Analytics,Financial Underwriter,Blue Cross Blue Shield,College of Arts & Sciences,Bachelor's degree,,2022,BUSINESS & MANAGEMENT,Operations & Analytics,Healthcare & Medical,Finance & Accounting
Civil Engineering,Graduate Design Engineer,Bolton & Menk,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Civil Engineering,Graduate Engineer,Bolton and Menk,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Data Analytics,Data Scientist,Boston Scientific,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Operations & Analytics,Healthcare & Medical,Research & Science
Human Resources Management,Recruiter,Brooksource,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Specialized Business,Professional Services & Consulting,Human Resources
Marketing Management,Assistant Buyer,Burlington,Opus College of Business,Bachelor's degree,California,2022,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Operations & Supply Chain
Civil Engineering,Assistant Civil Engineer,Burns & McDonnell,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Civil Engineering,Assistant Civil Engineer,Burns and McDonnell,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Computer Science,Software Engineer,Calspan ASE,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Computer Science & IT,"Construction, Engineering & Real Estate",Software & IT
Psychology,Behavior technician,Caravel Autism Health,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Engineering
Operations Management,Operations Supervisor,Cargill,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
Biochemistry,Chemist,Cargill,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Biological Sciences,Manufacturing & Industrial,Research & Science
Financial Management,Housing Market Analyst,Baker Tilly,Opus College of Business,Bachelor's degree,Illinois,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Accounting,Real Estate Accountant,CBRE,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Finance & Accounting
Marketing Management,Sales Rep,CDW,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Sales & Business Development
Marketing Management,Marketing Coordinator,Channel Partners Capital,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Marketing & Communications
Financial Management,Financial Analyst,Molson Coors,Opus College of Business,Bachelor's degree,Wisconsin,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Financial Management,Financial analyst,The Toro company,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Social Work,Child Protection Specialist,Child Protection Services McLeod County,College of Health,Bachelor's degree,Minnesota,2022,EDUCATION & SOCIAL SERVICES,Social Work,Government & Public Service,Government & Public Service
Risk Management and Insurance,Agency Services Intern,Christensen Group Insurance,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Statistics,Enterprise Data Analyst,CHS inc,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Physical Sciences,Manufacturing & Industrial,Operations & Supply Chain
Neuroscience,Opthalmic Technician,Chu Vision Institute,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Engineering
Computer Science,Software Engineer,Cigna,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Computer Science & IT,Healthcare & Medical,Software & IT
Gen Business Mgmt,Management Intern,City of Bloomington,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Government & Public Service,Government & Public Service
Public Health,Environmental Public Health intern,City of Edina,College of Health,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Health & Wellness,Government & Public Service,Healthcare & Clinical
Mathematics (Applied Track),Laborer,City of International Falls,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Physical Sciences,Government & Public Service,Government & Public Service
Environmental Science,Environmental science intern,City of Woodbury,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Environmental Sciences,Government & Public Service,Research & Science
Financial Management,Accounting Analyst,Deluxe,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Finance & Accounting
Mechanical Engineering,Product Engineer,Clarios,School of Engineering,Bachelor's degree,Wisconsin,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Financial Management,Associate Financial Analyst II - Global Supply Chain Finance,Ecolab,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Financial Management,Valuation Associate,CLA,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Psychology,Navigate College Coach,College Possible,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Education & Academia,Education & Teaching
Civil Engineering,Structural Inspection Engineer,Collins Engineers Inc,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Mechanical Engineering,Design Engineer,Commscope,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Engineering
Financial Management,Associate Financial Analyst,Donaldson,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Marketing Management,General Manager,CTS Holdings Corp DBA Wissota Industries,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Management & Leadership
Biology,Pharmacy tech,Cub pharmacy,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Gen Business Mgmt,Business Development Rep.,Dahl Consulting,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Sales & Business Development
Mechanical Engineering,Control Development Engineer,Daikin Applied,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Mechanical Engineering,Electric High Voltage Product Design Engineer I,Daimler Trucks North America,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Operations Management,Program Analyst,Dakota County,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Operations & Analytics,Government & Public Service,Government & Public Service
Actuarial Science,Actuarial Analyst,Deloitte,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Accounting,Audit Associate,Deloitte,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Accounting,Tax Consultant,Deloitte,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Accounting,Audit assistant,Deloitte,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Accounting,Audit Associate,Deloitte,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Financial Management,Audit Associate,Wells Fargo,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Insurance Underwriting,CNA,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Electrical Engineering,Project Manager Electrical Engineer,Department of Defense,College of Arts & Sciences,Bachelor's degree,New Jersey,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Government & Public Service,Engineering
Electrical Engineering,Electrical Controls Engineer,Design Ready Controls,School of Engineering,Bachelor's degree,Minnesota,2022,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Strategic Comm: Ad and PR,Account Manager,Direct Clicks Inc.,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,COMMUNICATION & MEDIA,Communication Studies,Professional Services & Consulting,Sales & Business Development
Financial Management,Product Strategy Analyst,Gravie,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Consulting & Advisory
Real Estate Studies,Development Associate,Doran,Opus College of Business,Bachelor's degree,Minnesota,2022,BUSINESS & MANAGEMENT,Specialized Business,"Construction, Engineering & Real Estate",Engineering
Psychology,Counselor coordinator for summer at Down Home Ranch Camp / lab manager at UMN,Down Home Ranch Camp and University of Minnesota,College of Arts & Sciences,Bachelor's degree,Minnesota,2022,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Healthcare & Clinical
